transcript	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
2L52.1a.1	3.644593499413444	-0.03626714793823249	0.8988144921841267	-0.040349981284906765	0.9678141068956699	0.999784205248708
2L52.1b.1	0.33164454065682	-1.880644868514417	4.04430501311305	-0.46501064148641347	0.6419238360038375	
2L52.2	0.0					
2RSSE.1a.1	1.82965838280903	0.2386253937814806	1.2886279768561977	0.18517787760874416	0.8530895201144479	
2RSSE.1b.1	3.658924139269834	-0.2986502812858826	0.8985220982999443	-0.3323794504898056	0.7396027534985024	0.999784205248708
2RSSE.1c.1	4.129343147924465	0.07191582709362927	0.8496420413675417	0.08464250071462698	0.9325456096013831	0.999784205248708
2RSSE.3	0.993996691293615	3.41907598829225	2.6392889732451463	1.2954534433144371	0.19516385200865516	
2RSSE.4	0.0					
2RSSE.5	0.0					
2RSSE.6	0.0					
2RSSE.7	0.0					
2RSSE.8	0.0					
3R5.1a.1	9.442195823319748	0.322657376685502	0.5809506559171587	0.5553954942629614	0.5786241738188795	0.999784205248708
3R5.1b	10.416383094013524	0.378105149307174	0.5428296823754407	0.6965447203486982	0.4860877611643232	0.999784205248708
3R5.2	8.70571567125179	6.552092050985183	2.031359520871745	3.225471406545206	0.0012576539779772492	0.03689118335399931
4R79.1a.1	0.0					
4R79.1b.1	0.0					
4R79.1c	0.0					
4R79.2a.1	0.3284468835914767	1.824156918368112	4.059153107749078	0.44939347443823363	0.6531478378740312	
4R79.2b.1	0.0					
4R79.4	0.0					
4R79.5	0.0					
AC3.10.1	0.5040171508585951	-2.481492233017325	3.0374055985748827	-0.8169775660457114	0.4139412485915156	
AC3.10.2	0.0					
AC3.11	0.0					
AC3.12.1	0.3351714663322727	-1.8934740789530398	4.035197219271736	-0.46923953801067747	0.6388984271818249	
AC3.13	0.0					
AC3.14	0.0					
AC3.15	0.6464985212379292	1.4004239057418375	3.2812092016796823	0.4268011637371208	0.6695241587999049	
AC3.16	0.0					
AC3.1a.1	0.0					
AC3.1b.1	0.0					
AC3.2.1	14.581319390662602	0.02231445312430451	0.5026217149255883	0.044396118316551644	0.9645886557346041	0.999784205248708
AC3.3.1	0.0					
AC3.4.1	0.0					
AC3.5a.1	11.666875046882344	-0.2062876055353137	0.5586866575535461	-0.36923667810259553	0.7119513192467997	0.999784205248708
AC3.5b.1	0.0					
AC3.6.1	0.0					
AC3.7.1	1.0056377392359865	-1.0290029293206222	1.7911165166977343	-0.5745036237049423	0.5656270491032342	
AC3.8.1	3.1525466651073297	-0.19494473898486	0.9763920960183707	-0.19965825182303826	0.8417478665064771	
AC3.9	0.0					
AC7.10	0.0					
AC7.11	0.0					
AC7.12	0.0					
AC7.13	0.0					
AC7.14	0.0					
AC7.15	0.0					
AC7.16	0.0					
AC7.17	0.0					
AC7.18	0.0					
AC7.19	0.0					
AC7.1a.1	0.6663871414635723	-1.5196119565042132	2.3105633347732044	-0.6576802867225331	0.5107435921893072	
AC7.1b.1	0.6555834272826345	-0.05363811044301001	2.22935635276618	-0.024059908760865428	0.9808048222314671	
AC7.20	0.0					
AC7.21	0.0					
AC7.22	0.0					
AC7.23	0.0					
AC7.24	0.0					
AC7.25	0.0					
AC7.26	0.0					
AC7.27	0.0					
AC7.28	0.0					
AC7.29	0.0					
AC7.2a	8.592378913252093	0.17641463318180142	0.6098261887678686	0.28928674502851487	0.7723619548315643	0.999784205248708
AC7.2b.1	0.8324640344500719	-0.6212602036630036	1.8897077557844089	-0.32875993748838767	0.7423371465346991	
AC7.2c.1	0.0					
AC7.2d.1	0.0					
AC7.3.1	0.3351714663322727	-1.8934740789530398	4.035197219271736	-0.46923953801067747	0.6388984271818249	
AC7.30	0.0					
AC7.31	0.0					
AC7.32	0.0					
AC7.33	0.0					
AC7.34	0.0					
AC7.35	0.0					
AC7.36	0.0					
AC7.37	0.0					
AC7.38	0.0					
AC7.39	0.0					
AC7.4	0.0					
AC7.40	0.0					
AC7.41	0.0					
AC7.42	0.0					
AC7.43	0.0					
AC7.44	0.0					
AC7.45	0.0					
AC7.46	0.0					
AC7.47	0.0					
AC7.48	0.0					
AC7.49	0.0					
AC7.5	0.0					
AC7.50	0.0					
AC7.51	0.0					
AC7.52	0.0					
AC7.53	0.0					
AC7.54	0.0					
AC7.55	0.0					
AC7.56	0.0					
AC7.57	0.0					
AC7.58	0.0					
AC7.59	0.0					
AC7.6	0.0					
AC7.60	0.0					
AC7.61	0.0					
AC7.62	0.0					
AC7.63	0.0					
AC7.64	0.0					
AC7.65	0.0					
AC7.66	0.0					
AC7.67	0.0					
AC7.68	0.0					
AC7.69	0.0					
AC7.7	0.0					
AC7.70	0.0					
AC7.71	0.0					
AC7.72	0.0					
AC7.73	0.0					
AC7.74	0.0					
AC7.75	0.0					
AC7.76	0.0					
AC7.77	0.0					
AC7.78	0.0					
AC7.79	0.0					
AC7.8	0.0					
AC7.80	0.0					
AC7.81	0.0					
AC7.82	0.0					
AC7.83	0.0					
AC7.9	0.0					
AC8.1	0.33164454065682	-1.880644868514417	4.04430501311305	-0.46501064148641347	0.6419238360038375	
AC8.10.1	1.167206635256824	-0.45874081120299287	1.5572665370923224	-0.29458079286769934	0.7683141364829633	
AC8.11.1	0.8320351689245514	0.5359053199723358	1.8903874090487145	0.2834896791034043	0.776801492190252	
AC8.12	1.1636797095813713	-0.45472308800961353	1.557159688281944	-0.29202084502413606	0.7702706862463906	
AC8.13	0.0					
AC8.13a	0.0					
AC8.2	0.0					
AC8.3.1	0.15804197034538467	0.923206431070327	4.425441490550883	0.2086134079597571	0.8347500428276355	
AC8.4.1	2.1409854377146864	1.1280724510650073	1.2309925918953923	0.9163925587302552	0.35946103682728436	
AC8.5	0.0					
AC8.6	0.0					
AC8.7	1.1636797095813713	-0.45472308800961353	1.557159688281944	-0.29202084502413606	0.7702706862463906	
AC8.8	0.0					
AC8.8a	0.0					
AC8.9	0.0					
AH10.1.1	2.3535370353324456	-3.6410284131039075	1.795832178245131	-2.027488123451426	0.04261251782569251	
AH10.10	0.32473998120995423	1.8103027565011878	4.323768322006252	0.41868634526218035	0.6754453762884165	
AH10.2.1	0.0					
AH10.4	0.4975414569372498	-0.9320538131047188	2.8305098007964817	-0.32928831860693314	0.7419377726480827	
AH10.6	0.0					
AH10.7	0.0					
AH10.8	0.9742199436298629	3.394439904673848	4.018523924473752	0.8446981947776679	0.3982793676482389	
AH10.9	0.0					
AH6.1.1	0.0					
AH6.10.1	0.0					
AH6.11.1	0.0					
AH6.12.1	0.0					
AH6.13	0.0					
AH6.14.1	0.0					
AH6.16	0.0					
AH6.17.1	0.0					
AH6.2.1	1.5072945667906723	-2.938755707404907	1.8858861809130592	-1.558289008715307	0.11916475328739579	
AH6.3.1	2.356056938052818	-3.642090371519407	1.752107816966059	-2.0786907838959547	0.037645780607929565	
AH6.4.1	0.0					
AH6.5	234.710418010613	0.19027371295582507	0.17093375494703114	1.1131430010110466	0.26564701804110114	0.999784205248708
AH6.6.1	0.0					
AH6.7.1	0.0					
AH6.8.1	0.0					
AH6.9	0.0					
AH9.1.1	0.17040491324609205	0.923206431070327	4.425441490550883	0.2086134079597571	0.8347500428276355	
AH9.2.1	13.896358152079971	0.030342968754952064	0.4847525852867175	0.0625947538516067	0.9500892070470617	0.999784205248708
AH9.3.1	0.6696651783195743	-0.0485861979224374	2.2253294099600747	-0.021833261046646166	0.9825809620271704	
AH9.3.2	15.387238943255474	0.37111660687555503	0.4632897278182839	0.8010464825611633	0.4231047366893591	0.999784205248708
AH9.4	0.0					
AH9.5	0.0					
AH9.5b	0.0					
AH9.6.1	0.5116232079741896	-0.9504669923754895	2.8165365298605076	-0.3374594940625757	0.7357705421770608	
AH9.7	0.8259883405287266	0.5482832529678318	1.8916315201498877	0.28984675246074737	0.7719334790403414	
AH9.8	0.0					
AH9.9	0.3408098264921841	1.8709935663474302	4.318776293306532	0.4332230797059795	0.6648527133358134	
B0001.10	0.0					
B0001.11	0.33041458054715983	-0.038583466316053944	3.9232891139297434	-0.009834469292375704	0.9921533552718376	
B0001.12	0.8053415861674535	1.826163735622257	2.548083432092897	0.7166812956836021	0.47357076960083566	
B0001.1a	56.32174543152391	-0.17453117622509673	0.2535636468161124	-0.6883130859514296	0.49125564283614787	0.999784205248708
B0001.1b.1	0.0					
B0001.1c.1	0.0					
B0001.2.1	55.13371342655611	0.19936938095761317	0.2601376673924068	0.7663995105209919	0.44343862397209044	0.999784205248708
B0001.3a	1.3232809086465258	0.6996845616137826	1.4819392887438703	0.4721411780686732	0.6368260221539551	
B0001.3b	32.429647889438876	-0.09738198244744643	0.32011720648199127	-0.3042072730724171	0.7609699841572823	0.999784205248708
B0001.3c.1	6.797941259104912	-0.10791012814602308	0.6669212743342686	-0.16180339764050963	0.8714606773723347	0.999784205248708
B0001.4a	35.9743491629012	0.19282903618035188	0.3361265807889577	0.5736798194529656	0.5661844868986683	0.999784205248708
B0001.4b	3.9379485489575026	0.8992608451301427	1.9333335154198152	0.4651348760872601	0.6418348718047094	0.999784205248708
B0001.4c.1	16.866814715385473	-0.15405866990642847	0.4474810906818296	-0.34427973184674315	0.7306359253289411	0.999784205248708
B0001.5	30.13236421300365	0.1838279255003543	0.32875405409682296	0.5591655014122326	0.5760487751107273	0.999784205248708
B0001.6.1	6.3321953812076694	-0.6608678835193167	0.719673765667658	-0.9182881397742967	0.35846803484975853	0.999784205248708
B0001.6.2	6.133914440945251	0.2015505632049929	0.7173147616401656	0.28097924925473494	0.7787263156459812	0.999784205248708
B0001.7a	16.25292433544897	-0.21727374525695792	0.43715241191914234	-0.4970205798547575	0.6191745388070997	0.999784205248708
