transcript	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
2L52.1a.1	3.2525316702507605	-0.16648049371498286	0.9462527520355776	-0.1759366018823726	0.8603437496887498	
2L52.1b.1	0.4551541939063494	-0.7210298122263781	2.92872323237018	-0.24619254023633275	0.8055331899106576	
2L52.2	0.0					
2RSSE.1a.1	1.625902279352772	0.12295036037855314	1.3175479242451122	0.09331756220480361	0.925651280340155	
2RSSE.1b.1	3.269476204162968	-0.4519978962026862	0.9470732376474164	-0.47725759554295366	0.6331787025943962	
2RSSE.1c.1	3.8577040869701573	0.03299083886569835	0.9092569858982875	0.036283294357211365	0.9710564703406245	
2RSSE.3	1.7723197399041801	4.343175207257917	2.3638838421782555	1.837304832734843	0.06616490686589768	
2RSSE.4	0.0					
2RSSE.5	0.0					
2RSSE.6	0.0					
2RSSE.7	0.0					
2RSSE.8	0.0					
3R5.1a.1	8.228110547456033	0.13389182000417088	0.6129152234858775	0.21845079853405852	0.82707788959959	0.9998330398666289
3R5.1b	9.600798320575768	0.33573314313284897	0.5631653595273909	0.5961537538718586	0.551072516879727	0.9998330398666289
3R5.2	0.0					
4R79.1a.1	0.0					
4R79.1b.1	0.0					
4R79.1c	0.0					
4R79.2a.1	0.0					
4R79.2b.1	0.0					
4R79.4	0.0					
4R79.5	0.0					
AC3.10.1	0.47209872781855716	-2.2851338108774004	3.1081654920932973	-0.7352033914186471	0.46221563389928355	
AC3.10.2	0.0					
AC3.11	0.0					
AC3.12.1	0.31448132121335204	-1.6991847524611257	4.276934504518377	-0.39729033742883324	0.6911533719322023	
AC3.13	0.0					
AC3.14	0.0					
AC3.15	0.16254127803492424	-0.8039144740439337	4.427644232612845	-0.18156708890983478	0.8559224787313018	
AC3.16	0.0					
AC3.1a.1	0.0					
AC3.1b.1	0.0					
AC3.2.1	11.60895400827537	-0.4894672997255414	0.5274928755377759	-0.9279126267374367	0.35345289406373337	0.9998330398666289
AC3.3.1	0.0					
AC3.4.1	0.0					
AC3.5a.1	10.46237564814184	-0.36267214291087707	0.5908328113655921	-0.6138320958726596	0.5393262856028179	0.9998330398666289
AC3.5b.1	0.0					
AC3.6.1	0.0					
AC3.7.1	1.1665513255619195	-0.25999994102800167	1.5549061801642063	-0.1672126230796409	0.8672027524720157	
AC3.8.1	2.423083563241178	-0.8823591521619014	1.1228861298010673	-0.7857957532329852	0.43198715496726536	
AC3.9	0.0					
AC7.10	0.0					
AC7.11	0.0					
AC7.12	0.0					
AC7.13	0.0					
AC7.14	0.0					
AC7.15	0.0					
AC7.16	0.0					
AC7.17	0.0					
AC7.18	0.0					
AC7.19	0.0					
AC7.1a.1	0.8471197524670061	-0.40181401748357476	1.8884215925697445	-0.2127777076181333	0.8315003523307853	
AC7.1b.1	0.46007806533606854	-0.7373674987152076	2.925559207299386	-0.2520432664208082	0.8010076212852137	
AC7.20	0.0					
AC7.21	0.0					
AC7.22	0.0					
AC7.23	0.0					
AC7.24	0.0					
AC7.25	0.0					
AC7.26	0.0					
AC7.27	0.0					
AC7.28	0.0					
AC7.29	0.0					
AC7.2a	7.982027627740205	0.1392997522846592	0.6263536009175446	0.22239794276044586	0.8240041131640861	0.9998330398666289
AC7.2b.1	1.0089339189567144	0.1564465738985987	1.6374877534967887	0.09554060698439629	0.9238854380481571	
AC7.2c.1	0.0					
AC7.2d.1	0.0					
AC7.3.1	0.31448132121335204	-1.6991847524611257	4.276934504518377	-0.39729033742883324	0.6911533719322023	
AC7.30	0.0					
AC7.31	0.0					
AC7.32	0.0					
AC7.33	0.0					
AC7.34	0.0					
AC7.35	0.0					
AC7.36	0.0					
AC7.37	0.0					
AC7.38	0.0					
AC7.39	0.0					
AC7.4	0.0					
AC7.40	0.0					
AC7.41	0.0					
AC7.42	0.0					
AC7.43	0.0					
AC7.44	0.0					
AC7.45	0.0					
AC7.46	0.0					
AC7.47	0.0					
AC7.48	0.0					
AC7.49	0.0					
AC7.5	0.0					
AC7.50	0.0					
AC7.51	0.0					
AC7.52	0.0					
AC7.53	0.0					
AC7.54	0.0					
AC7.55	0.0					
AC7.56	0.0					
AC7.57	0.0					
AC7.58	0.0					
AC7.59	0.0					
AC7.6	0.0					
AC7.60	0.0					
AC7.61	0.0					
