transcript	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
2L52.1a.1	3.823107414687975	0.10936212614363053	0.9098195988712258	0.12020198980029825	0.904323141573343	
2L52.1b.1	0.8108061403381047	0.5415518704063417	2.1749322218305416	0.24899712504628857	0.8033630052753851	
2L52.2	0.0					
2RSSE.1a.1	1.668280518830275	-0.007405376788946155	1.369936700454725	-0.005405634279662759	0.9956869488721136	
2RSSE.1b.1	4.168743375559344	0.10170777294287021	0.875467983454265	0.11617531978904572	0.9075135962438899	0.9999892319025653
2RSSE.1c.1	3.8183349816264642	-0.14731119222200503	0.9087196336175338	-0.16210851705225296	0.8712203992750001	
2RSSE.3	0.0					
2RSSE.4	0.0					
2RSSE.5	0.0					
2RSSE.6	0.0					
2RSSE.7	0.0					
2RSSE.8	0.0					
3R5.1a.1	7.6192734061245515	-0.2739136456200969	0.668198132546563	-0.4099287805193161	0.6818581923064169	0.9999892319025653
3R5.1b	9.479511627521847	0.13678232023001205	0.5931739599888914	0.23059393947868786	0.8176302763344052	0.9999892319025653
3R5.2	0.0					
4R79.1a.1	0.0					
4R79.1b.1	0.0					
4R79.1c	0.0					
4R79.2a.1	0.0					
4R79.2b.1	0.32112309872629424	1.804085767700309	4.236143339355925	0.42587930180252287	0.6701957978632631	
4R79.4	0.0					
4R79.5	0.0					
AC3.10.1	0.998384794648226	-0.01762862602385499	1.6974674390592326	-0.010385251356353023	0.9917139172300731	
AC3.10.2	0.0					
AC3.11	0.0					
AC3.12.1	0.8077481418848812	0.5207135796090867	2.577073166230605	0.20205618778403422	0.8398727984470284	
AC3.13	0.0					
AC3.14	0.3504083939328795	1.9134792912234118	4.317075775594807	0.443235048604115	0.6575957302932942	
AC3.15	0.1704317639049292	-0.9794434622685585	4.425477742143274	-0.2213192607300767	0.8248438539149853	
AC3.16	0.17520419696643974	0.9441306898495672	4.4254826242254115	0.21333959931993124	0.8310620886370188	
AC3.1a.1	0.0					
AC3.1b.1	0.0					
AC3.2.1	15.544593070543435	0.21534369688108507	0.5065397749030615	0.4251269249730611	0.6707441509946408	0.9999892319025653
AC3.3.1	0.3332615035276875	1.8497818642142951	4.199159199011732	0.4405124398831174	0.6595660044623083	
AC3.4.1	0.0					
AC3.5a.1	16.065424328520876	0.6671680324012833	0.545196591716031	1.2237201085599998	0.22105783126673417	0.9999892319025653
AC3.5b.1	0.0					
AC3.6.1	0.0					
AC3.7.1	1.9793079802178097	0.9711754311674872	1.31030185179235	0.7411845063326631	0.4585815763470097	
AC3.8.1	3.8149622644997905	0.3545241470296723	0.9339984223240648	0.3795768157161456	0.7042595733787906	
AC3.9	0.0					
AC7.10	0.0					
AC7.11	0.0					
AC7.12	0.0					
AC7.13	0.0					
AC7.14	0.0					
AC7.15	0.0					
AC7.16	0.0					
AC7.17	0.0					
AC7.18	0.0					
AC7.19	0.0					
AC7.1a.1	0.981237904243034	-0.04660989220197624	1.8354637360969535	-0.025394068695190068	0.9797406420794911	
AC7.1b.1	0.8299035178938717	0.5700565693147313	1.9566938165578114	0.2913366232830269	0.7707938803004559	
AC7.20	0.0					
AC7.21	0.0					
AC7.22	0.0					
AC7.23	0.0					
AC7.24	0.0					
AC7.25	0.0					
AC7.26	0.0					
AC7.27	0.0					
AC7.28	0.0					
AC7.29	0.0					
AC7.2a	9.285987976897301	0.39080065136512254	0.6061745521698193	0.6446998640346091	0.5191217044514411	0.9999892319025653
AC7.2b.1	0.998384794648226	-0.01762862602385499	1.6974674390592326	-0.010385251356353023	0.9917139172300731	
AC7.2c.1	0.0					
AC7.2d.1	0.0					
AC7.3.1	0.8127566274886798	0.5366488774465629	2.1744401584435544	0.24679864164700283	0.8050640617892041	
AC7.30	0.0					
AC7.31	0.0					
AC7.32	0.0					
AC7.33	0.0					
AC7.34	0.0					
AC7.35	0.0					
AC7.36	0.0					
AC7.37	0.0					
AC7.38	0.0					
AC7.39	0.0					
AC7.4	0.0					
AC7.40	0.0					
AC7.41	0.0					
AC7.42	0.0					
AC7.43	0.0					
AC7.44	0.0					
AC7.45	0.0					
AC7.46	0.0					
AC7.47	0.0					
AC7.48	0.0					
AC7.49	0.0					
AC7.5	0.0					
AC7.50	0.0					
AC7.51	0.0					
AC7.52	0.0					
AC7.53	0.0					
AC7.54	0.0					
AC7.55	0.0					
AC7.56	0.0					
AC7.57	0.0					
AC7.58	0.0					
AC7.59	0.0					
AC7.6	0.0					
AC7.60	0.0					
AC7.61	0.0					
AC7.62	0.0					
AC7.63	0.0					
AC7.64	0.0					
AC7.65	0.0					
AC7.66	0.0					
AC7.67	0.0					
AC7.68	0.0					
AC7.69	0.0					
AC7.7	0.0					
AC7.70	0.0					
AC7.71	0.0					
AC7.72	0.0					
AC7.73	0.0					
AC7.74	0.0					
AC7.75	0.0					
AC7.76	0.0					
AC7.77	0.0					
AC7.78	0.0					
AC7.79	0.0					
AC7.8	0.0					
AC7.80	0.0					
AC7.81	0.0					
AC7.82	0.0					
AC7.83	0.0					
AC7.9	0.0					
