Name	Project	Life Stage			
RNASeq.elegans.WBStrain00000001.WBls:0000002.Hermaphrodite.WBbt:0007833.SRP000401.SRX047635	RNASeq_Study.SRP000401	all stages Ce			
RNASeq.elegans.WBStrain00000001.WBls:0000002.Hermaphrodite.WBbt:0007833.SRP003783.SRX028190	RNASeq_Study.SRP003783	all stages Ce			
RNASeq.elegans.WBStrain00000001.WBls:0000002.Hermaphrodite.WBbt:0007833.SRP003783.SRX028191	RNASeq_Study.SRP003783	all stages Ce			
RNASeq.elegans.WBStrain00000001.WBls:0000002.Hermaphrodite.WBbt:0007833.SRP003783.SRX028204	RNASeq_Study.SRP003783	all stages Ce			
RNASeq.elegans.WBStrain00000001.WBls:0000002.Hermaphrodite.WBbt:0007833.SRP011038.SRX121891	RNASeq_Study.SRP011038	all stages Ce			
RNASeq.elegans.WBStrain00000001.WBls:0000002.Hermaphrodite.WBbt:0007833.SRP011038.SRX121893	RNASeq_Study.SRP011038	all stages Ce			
RNASeq.elegans.WBStrain00000001.WBls:0000002.Hermaphrodite.WBbt:0007833.SRP011038.SRX121895	RNASeq_Study.SRP011038	all stages Ce			
RNASeq.elegans.WBStrain00000001.WBls:0000002.Hermaphrodite.WBbt:0007833.SRP015332.SRX181515	RNASeq_Study.SRP015332	all stages Ce			
RNASeq.elegans.WBStrain00000001.WBls:0000002.Hermaphrodite.WBbt:0007833.SRP015332.SRX181516	RNASeq_Study.SRP015332	all stages Ce			
RNASeq.elegans.WBStrain00000001.WBls:0000002.Hermaphrodite.WBbt:0007833.SRP015332.SRX181517	RNASeq_Study.SRP015332	all stages Ce			
RNASeq.elegans.WBStrain00000001.WBls:0000002.Hermaphrodite.WBbt:0007833.SRP015332.SRX181518	RNASeq_Study.SRP015332	all stages Ce			
RNASeq.elegans.WBStrain00000001.WBls:0000002.Hermaphrodite.WBbt:0007833.SRP015688.SRX185637	RNASeq_Study.SRP015688	all stages Ce			
RNASeq.elegans.WBStrain00000001.WBls:0000002.Hermaphrodite.WBbt:0007833.SRP018867.SRX245821	RNASeq_Study.SRP018867	all stages Ce			
RNASeq.elegans.WBStrain00000001.WBls:0000002.Hermaphrodite.WBbt:0007833.SRP018867.SRX245822	RNASeq_Study.SRP018867	all stages Ce			
RNASeq.elegans.WBStrain00000001.WBls:0000002.Hermaphrodite.WBbt:0007833.SRP018867.SRX245823	RNASeq_Study.SRP018867	all stages Ce			
RNASeq.elegans.WBStrain00000001.WBls:0000002.Hermaphrodite.WBbt:0007833.SRP028602.SRX332740	RNASeq_Study.SRP028602	all stages Ce			
RNASeq.elegans.WBStrain00000001.WBls:0000002.Hermaphrodite.WBbt:0007833.SRP028602.SRX332741	RNASeq_Study.SRP028602	all stages Ce			
RNASeq.elegans.WBStrain00000001.WBls:0000002.Hermaphrodite.WBbt:0007833.SRP028602.SRX332742	RNASeq_Study.SRP028602	all stages Ce			
RNASeq.elegans.WBStrain00000001.WBls:0000002.Hermaphrodite.WBbt:0007833.SRP028602.SRX332743	RNASeq_Study.SRP028602	all stages Ce			
